Model,Phase,Params (M),Clean (%),SS-C (%),Gap (pp),Spatial (%),Appearance (%),Semantic (%)
CNXv2-A,CNN,3.4,91.67,8.29,83.38,3.36,9.96,11.56
EffNetV2-S,CNN,22.22,95.45,11.28,84.17,2.38,2.5,28.95
GhostV2,CNN,4.93,95.02,11.63,83.39,2.5,5.04,27.34
MobNetV3-L,CNN,4.25,95.95,11.08,84.87,2.5,2.93,27.81
MobNetV4-S,CNN,2.54,96.03,7.8,88.23,2.62,6.68,14.1
ResNet-18,CNN,11.2,98.02,9.23,88.79,2.46,4.3,20.94
ShuffleV2,CNN,1.29,96.18,12.3,83.88,3.28,3.71,29.92
SqueezeNet,CNN,0.74,95.09,16.63,78.46,2.19,12.23,35.47
CNX-Ti,ViT,27.85,99.98,45.39,54.59,33.28,38.12,64.77
DeiT-S,ViT,21.68,99.65,19.48,80.17,3.16,17.85,37.42
DeiT-Ti,ViT,5.53,99.55,16.91,82.64,2.5,16.48,31.76
EffFormer,ViT,11.43,99.91,16.15,83.76,5.2,12.42,30.82
MobViT-S,ViT,4.96,100.0,28.09,71.91,6.13,20.62,57.5
Swin-Ti,ViT,27.55,99.94,33.39,66.55,8.28,25.82,66.05
ViT-S,ViT,21.68,99.79,24.4,75.39,3.05,22.81,47.34
ViT-Ti,ViT,5.53,99.66,21.17,78.49,3.32,20.59,39.61
BLIP-2,VLM,3800.0,0.95,0.49,0.46,0.0,0.7,0.78
CLIP-B/16,VLM,150.0,3.31,3.22,0.09,3.36,3.36,2.93
CLIP-B/32,VLM,151.0,6.71,3.44,3.27,3.24,3.52,3.55
CLIP-L/14,VLM,428.0,5.21,5.08,0.13,5.62,5.39,4.22
EVA02,VLM,87.0,4.61,2.62,1.99,2.7,2.85,2.3
LLaVA,VLM,7000.0,2.5,2.5,0.0,2.5,2.5,2.5
OpenCLIP,VLM,150.0,4.9,4.23,0.67,3.59,4.53,4.57
SigLIP,VLM,93.0,10.78,7.34,3.44,6.25,8.48,7.3
