Model,Phase,Clean,Mean C10-C,Gaussian Noise,Shot Noise,Impulse Noise,Defocus Blur,Glass Blur,Motion Blur,Zoom Blur,Snow,Frost,Fog,Brightness,Contrast,Elastic Transform,Pixelate,Jpeg Compression
ResNet-18,phase1,83.21,63.78,47.55,56.97,51.8,68.49,38.96,57.8,60.75,67.22,64.33,72.58,81.19,58.59,68.85,72.51,73.89
EfficientNetV2-S,phase1,85.29,73.33,60.57,67.31,56.91,79.02,65.5,75.74,75.38,75.46,76.33,78.74,81.9,64.06,76.87,78.88,79.05
MobileNetV3-L,phase1,84.94,67.91,48.58,57.08,56.67,71.73,53.71,66.17,65.59,73.36,72.61,75.92,83.03,60.45,71.5,76.49,77.05
MobileNetV4-S,phase1,76.48,66.66,63.31,67.71,61.12,69.58,68.8,63.37,66.04,66.96,64.29,62.02,70.69,49.89,68.09,74.56,73.49
ShuffleNetV2,phase1,82.01,67.05,46.82,55.9,38.43,75.6,64.4,68.87,71.28,70.11,69.29,71.2,78.41,55.18,74.09,78.57,76.43
SqueezeNet,phase1,77.74,59.44,44.76,51.4,34.78,66.37,52.01,55.76,61.58,61.72,58.61,62.16,71.68,44.83,65.06,73.44,71.85
GhostNetV2,phase1,85.01,67.05,40.08,48.22,50.12,75.31,55.75,69.61,70.59,71.87,68.46,74.57,82.57,61.7,74.65,76.55,77.62
ConvNeXtV2-A,phase1,80.26,73.04,68.08,71.65,70.26,77.34,74.1,71.45,75.26,73.81,72.9,71.07,77.24,58.64,74.21,78.67,75.29
ViT-Tiny,phase2,95.7,81.37,54.34,62.72,73.11,91.72,63.88,84.75,90.1,87.91,86.43,89.15,94.16,84.51,87.48,79.04,79.14
ViT-Small,phase2,97.18,88.2,77.85,82.2,88.94,93.59,69.69,88.46,92.27,91.7,91.0,91.3,96.22,89.6,89.87,84.84,84.75
DeiT-Tiny,phase2,93.15,80.59,62.37,69.05,70.95,85.45,70.91,80.64,82.12,86.68,88.09,87.76,92.04,84.66,84.27,78.48,79.19
DeiT-Small,phase2,96.52,87.29,76.26,81.35,81.76,91.4,71.66,86.76,89.56,92.49,92.54,92.5,95.3,92.54,89.07,83.65,82.76
Swin-Tiny,phase2,96.1,83.23,62.72,71.1,79.47,90.16,59.2,85.08,87.6,90.29,88.87,92.06,95.1,91.1,84.97,76.24,81.46
ConvNeXt-Tiny,phase2,98.03,86.29,63.96,72.12,67.42,93.75,67.8,91.46,92.61,93.44,92.3,95.98,97.38,95.03,91.37,85.2,83.98
EfficientFormer,phase2,96.07,75.74,31.77,46.54,53.26,85.83,55.61,81.85,83.97,87.51,85.56,92.24,94.61,79.15,86.23,77.43,82.15
MobileViT-S,phase2,97.3,78.48,33.32,47.86,59.92,91.17,57.51,87.13,88.69,90.97,88.15,92.82,96.32,88.23,88.22,71.46,78.66
CLIP-B/32,phase3,86.69,70.92,53.11,61.13,60.85,79.95,46.21,76.07,76.82,75.94,77.29,79.83,84.81,79.24,72.52,59.9,61.78
CLIP-B/16,phase3,88.41,73.1,54.73,62.57,72.13,80.67,46.04,75.9,77.91,77.15,79.71,82.4,86.11,81.51,71.58,66.64,64.09
CLIP-L/14,phase3,93.66,82.01,71.44,76.81,81.69,87.17,53.18,84.23,84.95,85.49,87.5,88.64,92.72,91.8,77.11,77.39,74.21
OpenCLIP-B/16,phase3,95.0,81.38,63.92,72.43,79.26,89.66,52.62,82.77,87.19,87.37,88.1,90.28,93.33,87.6,82.44,71.51,72.58
SigLIP-B/16,phase3,92.39,72.63,42.31,53.06,66.04,84.76,45.22,76.98,80.04,79.52,79.59,86.24,89.59,84.37,74.18,76.92,51.78
EVA02-CLIP-B/16,phase3,98.48,90.97,82.63,86.56,88.06,95.59,74.21,92.07,94.59,94.63,95.12,95.38,97.84,95.78,90.2,83.79,86.13
BLIP-2,phase3,67.1,52.41,37.04,46.64,62.62,54.46,44.42,50.54,50.82,57.24,60.22,57.26,62.16,53.56,51.16,52.7,21.36
LLaVA-1.5,phase3,92.15,82.58,74.8,79.4,86.12,85.92,60.7,82.42,84.54,84.4,86.7,86.34,91.22,88.64,78.92,79.96,75.76
