class,clean_avg,corrupt_avg,gap,Multi-Obj,Occl-BR,Occl-TL,Reflect,Scrap-P,Shadow
10#_19_4.6,99.84,45.67,54.17,99.41,1.76,12.30,41.60,67.58,51.37
10#_38_4.6,99.95,54.46,45.49,99.61,4.49,16.80,54.30,90.62,60.94
7#_16_Yellow,99.88,27.70,72.18,38.48,2.73,8.40,37.70,58.40,20.51
7#_25_Black,99.83,40.23,59.59,88.67,7.03,8.01,29.88,55.47,52.34
7#_25_Yellow,99.98,27.86,72.11,39.65,2.54,3.91,37.50,61.91,21.68
7#_40_Black,99.98,63.80,36.17,92.38,20.70,51.17,63.67,71.09,83.79
7#_40_Yellow,99.91,36.59,63.33,49.22,4.30,14.06,58.40,85.94,7.62
8#_16_Round,98.58,25.88,72.71,81.84,1.56,4.88,0.98,47.27,18.75
M3_10_Flat,97.83,10.90,86.92,0.00,10.35,2.54,8.98,35.35,8.20
M3_10_Round,97.84,5.27,92.57,0.59,1.37,0.39,12.30,14.65,2.34
M3_14_Flat,93.77,8.04,85.73,0.98,2.34,0.59,14.06,18.95,11.33
M3_14_Round,95.78,6.97,88.81,2.73,1.17,0.39,20.31,16.60,0.59
M3_18_Flat,97.40,8.98,88.42,3.71,0.98,0.78,19.14,27.54,1.76
M3_18_Round,97.96,9.08,88.88,6.25,1.56,0.59,4.10,33.59,8.40
M3_6_Flat,94.06,32.42,61.63,0.39,43.75,41.41,43.75,56.84,8.40
M3_6_Round,93.38,5.21,88.18,0.00,4.30,0.20,6.25,14.06,6.45
M4.2_20_Flat,97.18,13.35,83.83,37.50,2.15,1.17,0.59,33.79,4.88
M4.2_20_Round,99.21,10.87,88.33,35.35,0.78,1.95,0.39,26.37,0.39
M4.2_25_Flat,99.46,14.75,84.72,30.27,1.56,2.73,5.47,39.26,9.18
M4.2_25_Round,99.71,16.60,83.11,45.90,1.17,3.52,15.04,32.81,1.17
M4_12_Flat,97.40,3.81,93.59,0.39,2.34,1.37,2.54,13.87,2.34
M4_12_Round,98.43,3.68,94.75,0.78,1.76,0.59,0.59,17.38,0.98
M4_16_Flat,96.57,4.59,91.98,6.45,1.76,1.37,1.76,14.65,1.56
M4_16_Round,92.35,6.22,86.13,11.13,1.56,0.59,1.95,21.48,0.59
M4_18_Flat,95.46,6.15,89.31,2.93,1.56,0.39,5.27,23.83,2.93
M4_18_Round,93.70,5.24,88.46,8.01,2.15,0.59,11.91,8.01,0.78
M4_25_Flat,99.95,30.27,69.68,72.85,2.73,4.69,1.56,70.31,29.49
M4_25_Round,99.43,15.10,84.32,19.92,3.52,2.73,0.78,60.16,3.52
M4_30_Flat,98.50,26.92,71.58,52.73,8.98,10.35,5.47,68.95,15.04
M4_30_Round,98.68,46.06,52.62,75.98,39.26,33.79,19.53,83.20,24.61
M4_8_Flat,95.76,8.14,87.63,0.20,0.00,0.00,12.30,8.20,28.12
M4_8_Round,97.45,3.52,93.93,0.20,0.20,0.00,0.59,19.14,0.98
M5_10_Flat,97.91,20.67,77.24,66.41,0.39,0.00,11.33,22.46,23.44
M5_10_Round,99.37,10.68,88.69,29.49,0.59,1.17,2.34,27.15,3.32
M5_16_Flat,96.78,8.53,88.25,20.31,2.54,1.17,0.78,24.02,2.34
M5_16_Round,95.74,9.67,86.07,28.71,4.10,2.73,3.52,18.55,0.39
M5_18_Flat,99.48,14.62,84.86,69.53,0.59,0.39,8.20,7.81,1.17
M5_18_Round,94.98,6.09,88.90,25.39,0.39,0.20,0.59,9.96,0.00
M5_20_Flat,95.36,11.82,83.54,47.07,0.98,0.39,0.98,20.90,0.59
M6_20_Round,99.95,26.63,73.32,99.02,0.00,0.59,15.62,38.87,5.66
